Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Coins & Shrooms,Combination
Pre-release,1:08.713,SeLe,,<1,11.719,10.182,9.176,9.064,8.956,9.789,9.827,7-3-0-0-0-0-0,Morton,Splat Buggy
0-0-1-1-1-0-0,Slim,Super Glider
2017-04-28,1:08.519,Thomas,,<1,-,-,-,-,-,-,-,-,-,-
-,-,-
2017-04-28,1:07.618,Katta,,1,11.593,9.239,9.082,9.080,9.373,9.569,9.682,7-3-0-0-0-0-0,Morton,Streetle
0-1-1-1-0-0-0,Roller,Parachute
2017-04-29,1:06.908,Katta,,1,11.604,9.903,8.969,8.864,8.877,9.176,9.515,7-3-0-0-0-0-0,Purple Inkling Girl,Streetle
0-0-1-1-1-0-0,Roller,Parachute
2017-04-30,1:06.362,Katta,,<1,11.492,9.875,8.859,8.790,8.778,9.125,9.443,7-3-0,Orange Inkling Girl,Pipe Frame
0-0-1-1-1-0-0,Roller,Cloud Glider
2017-04-30,1:06.012,Katta,,2,11.449,9.792,8.855,8.764,8.787,9.043,9.322,7-3-0-0-0-0-0,Green Inkling Girl,Pipe Frame
0-0-1-1-1-0-0,Azure Roller,Cloud Glider
2017-05-02,1:05.576,Katta,,<1,-,-,-,-,-,-,-,-,-,-
-,-,-
2017-05-02,1:05.487,Katta,,1,-,-,-,-,-,-,-,-,-,-
-,-,-
2017-05-03,1:05.251,Chim,,2,11.385,9.246,8.981,8.652,8.695,8.914,9.378,-,Baby Daisy,Biddybuggy
-,Leaf Tires,Cloud Glider
2017-05-05,1:04.898,Chim,,3,11.392,9.198,8.546,8.532,8.547,9.318,9.365,7-3-0-0-0-0-0,Baby Daisy,Biddybuggy
0-0-1-1-1-0-0,Leaf Tires,Cloud Glider
2017-05-08,1:03.749,Chim,,2,11.363,8.852,9.004,9.036,8.506,8.521,8.467,7-3-0-0-0-0-0,Baby Daisy,Biddybuggy
0-0-0-0-1-1-1,Leaf Tires,Cloud Glider
2017-05-10,1:03.413,Chim,,<1,11.318,8.801,8.963,8.942,8.448,8.442,8.499,7-3-0-0-0-0-0,Purple Inkling Boy,Biddybuggy
0-0-0-0-1-1-1,Leaf Tires,Cloud Glider
