Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Coins & Shrooms,Combination
Pre-release,0:49.092,Alexal,,1,7.725,7.001,6.803,6.765,6.963,6.946,6.889,1-2-0-0-0-0-0,King Boo,W 25 Silver Arrow
1-0-1-1-0-0-0,Button,Super Glider
2017-04-29,0:48.749,Alexal,,<1,7.732,6.969,6.759,6.712,6.875,6.881,6.821,3-3-0-0-0-0-0,Black Yoshi,300 SL Roadster
2-0-1-0-0-0-0,Button,Parafoil
2017-04-29,0:48.403,Anthony,,1,7.720,6.776,6.625,6.766,6.897,6.864,6.755,3-2-1-0-0-0-0,Daisy,Wild Wiggler
2-1-0-0-0-0-0,Button,Waddle Wing
2017-04-30,0:48.159,Anthony,,1,7.606,6.792,6.710,6.771,6.752,6.736,6.792,3-3-0-0-0-0-0,Daisy,Wild Wiggler
2-1-0-0-0-0-0,Button,Waddle Wing
2017-05-01,0:47.935,えぢから,,1,7.491,6.797,6.703,6.737,6.721,6.726,6.760,3-3-0-0-0-0-0,Gold Mario,Wild Wiggler
2-0-1-0-0-0-0,Roller,Paper Glider
2017-05-02,0:47.864,Anthony,,6,7.452,6.782,6.727,6.647,6.746,6.765,6.745,3-2-1-0-0-0-0,Daisy,Wild Wiggler
2-0-1-0-0-0-0,Button,Parachute
2017-05-08,0:47.859,Ti_C,,4,7.428,6.807,6.756,6.594,6.747,6.763,6.764,3-3-0-0-0-0-0,Daisy,Wild Wiggler
2-0-1-0-0-0-0,Button,Parachute
2017-05-12,0:47.855,Anthony,,1,7.508,6.814,6.724,6.608,6.710,6.736,6.755,3-3-0-0-0-0-0,Daisy,Wild Wiggler
2-0-1-0-0-0-0,Button,Waddle Wing
2017-05-13,0:47.849,Anthony,,1,7.489,6.804,6.651,6.711,6.719,6.717,6.758,3-3-0-0-0-0-0,Daisy,Wild Wiggler
2-1-0-0-0-0-0,Button,Waddle Wing
2017-05-14,0:47.803,Darky,,<1,7.489,6.780,6.744,6.581,6.751,6.751,6.707,3-3-0-0-0-0-0,Gold Mario,Wild Wiggler
2-0-0-1-0-0-0,Button,Flower Glider
2017-05-14,0:47.773,Anthony,,<1,7.469,6.826,6.689,6.624,6.716,6.720,6.729,3-3-0-0-0-0-0,Blue Yoshi,Wild Wiggler
2-0-1-0-0-0-0,Button,Super Glider
2017-05-14,0:47.768,Darky,,<1,7.612,6.766,6.689,6.646,6.616,6.745,6.694,3-3-0-0-0-0-0,Gold Mario,Wild Wiggler
2-0-0-1-0-0-0,Button,Flower Glider
2017-05-14,0:47.719,Darky,,1,7.497,6.815,6.775,6.625,6.593,6.754,6.660,3-3-0-0-0-0-0,Gold Mario,Wild Wiggler
2-0-0-1-0-0-0,Button,Flower Glider
2017-05-15,0:47.662,Anthony,,5,7.474,6.792,6.701,6.596,6.635,6.741,6.723,3-3-0-0-0-0-0,Blue Yoshi,Wild Wiggler
2-0-0-1-0-0-0,Button,Super Glider
2017-05-20,0:47.610,えぢから,,8,7.452,6.781,6.706,6.707,6.712,6.687,6.565,3-3-0-0-0-0-0,Luigi,Wild Wiggler
2-0-0-0-0-0-1,Leaf Tires,Paper Glider
2017-05-28,0:47.568,Darky,,<1,7.529,6.721,6.704,6.608,6.605,6.683,6.718,3-3-0-0-0-0-0,Gold Mario,Wild Wiggler
2-0-0-1-0-0-0,Button,Flower Glider
2017-05-28,0:47.536,Darky,,<1,-,-,-,-,-,-,-,-,-,-
-,-,-
2017-05-28,0:47.492,Darky,,<1,7.445,6.785,6.694,6.540,6.581,6.748,6.699,3-3-0-0-0-0-0,Gold Mario,Wild Wiggler
2-0-0-1-0-0-0,Button,Flower Glider
2017-05-28,0:47.487,Darky,,6,7.472,6.743,6.707,6.539,6.571,6.748,6.707,3-3-0-0-0-0-0,Gold Mario,Wild Wiggler
2-0-0-1-0-0-0,Button,Flower Glider
